Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
MELERO CORREA,Marta,ANT,45,17,5,10,2,0.882,1,1,0,100.0,0,0
MODREGO,Uxua,OBB,16,31,21,7,3,0.903,1,0,0,,0,0
MONCHO,Raquel,SBO,29,68,26,37,5,0.926,1,0,0,,0,0
MORALES,Carlota,DRI,31,43,36,4,3,0.930,0,0,0,,0,0
MOREIRA MONFORT,Malena,MIR,26,21,16,4,1,0.952,2,0,0,,0,0
MORENO,Andrea,DRI,4,7,7,0,0,1.000,0,2,0,100.0,2,0
MORENO,Rocío,DRI,28,77,38,29,10,0.870,6,0,0,,0,0
MORENTE,Alba,DRI,37,98,69,17,12,0.878,3,0,0,,0,0
MOYA CARRASCOSA,Georgina,VIL,28,16,10,1,5,0.688,0,0,0,,0,0
NAVARRO PARRA,Ainara,RIV,18,43,43,0,0,1.000,3,0,0,,0,0
NAVARRO,Judit,BCN,36,56,38,15,3,0.946,2,0,0,,0,0
NOGUERA RODRIGUEZ,Melianyer Valentina,BCN,14,6,5,0,1,0.833,0,0,0,,0,0
NOVELLA,Carla,OBB,32,140,102,31,7,0.950,1,12,4,75.0,5,0
NUÑEZ,Elena,BCN,14,32,29,1,2,0.938,2,0,0,,0,0
NÚÑEZ GÓMEZ,Cristina,CAM,30,29,24,2,3,0.897,0,0,0,,1,0
OJEDA MARQUEZ,Fransheska,ANT,23,18,15,0,3,0.833,0,0,0,,0,0
ORDINOLA BARRIOS,Erika Gabriela,MIR,23,62,40,9,13,0.790,1,0,0,,0,0
ORDINOLA BARRIOS,Sofía,MIR,33,14,2,10,2,0.857,0,0,0,,0,0
ORTIGOSA CERVANTES,Ines,FEN,25,71,53,13,5,0.930,1,39,6,86.7,8,0
