Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
BELLEBONO,Andrea,SEN,12,2,2,0,1,0,5,4,0.167,0.333,0.333,0.666,2,2,5,0,2,0,0,0
BENETTI,Davide,COL,12,5,3,0,0,0,1,3,0.250,0.250,0.438,0.688,3,1,3,0,0,0,2,0
BENETTON,Riccardo,PAD,21,4,4,1,1,0,0,7,0.190,0.333,0.433,0.766,5,4,7,0,0,0,1,0
BERINI,Stefano,RON,28,3,5,1,0,0,3,6,0.179,0.214,0.303,0.517,5,0,10,0,0,0,0,0
BERNADINA,Rogearvin Argelo Alejandro,MAC,13,0,1,0,0,0,0,1,0.077,0.077,0.294,0.371,4,0,4,0,0,0,0,0
BERNARDI,Andrea,ROV,19,2,5,1,1,0,4,8,0.263,0.421,0.333,0.754,1,1,6,0,0,0,0,0
BERTOLDI,Nicholas,RON,30,3,9,1,0,0,2,10,0.300,0.333,0.344,0.677,1,1,10,0,0,0,0,0
BERTOSSI,Riccardo,BOL,23,3,7,1,0,0,0,8,0.304,0.348,0.333,0.681,1,0,8,1,0,0,0,1
BETTATI,Jacopo,OLT,18,2,3,0,0,0,0,3,0.167,0.167,0.211,0.378,1,0,6,1,0,0,0,0
BIFFOLI,Andrea,FIO,6,1,0,0,0,0,0,0,0.000,0.000,0.250,0.250,1,1,4,0,0,0,0,0
BISCONTRI,Niccolò Maria,BBC,8,0,0,0,0,0,1,0,0.000,0.000,0.100,0.100,1,0,5,0,1,0,0,0
BOLLA,Diego,SET,1,1,1,0,0,0,0,1,1.000,1.000,1.000,2.000,0,0,0,0,0,0,0,0
BONAMINI,Andrea,VER,25,8,6,1,1,0,1,9,0.240,0.360,0.441,0.801,5,4,3,0,0,1,2,0
BONEMEI,Davide,RIM,16,5,3,1,0,0,0,4,0.188,0.250,0.316,0.566,2,1,4,0,0,0,0,0
BONILLA GARCIA,Ramon Antonio,NET,29,4,7,0,0,0,5,7,0.241,0.241,0.313,0.554,3,0,1,2,0,0,1,1
