Surname,First Name,Team,G,C,PO,A,E,FLDP,DP,SBA,CSB,SBAP,PB,CI
GOMEZ BOLIVAR,Josè David,BBC,8,9,0,8,1,0.889,0,0,0,,0,0
GOMEZ RAGUSA,Jose Luis,FIO,22,75,64,8,3,0.960,0,8,3,72.7,2,0
GONGORA DE LA TORRE,Dariel,COL,13,12,2,9,1,0.917,1,1,0,100.0,0,0
GONZALEZ FREITES,Pablo Daniel,NET,23,46,19,26,1,0.978,6,0,0,,0,0
GONZALEZ SANAMÈ,Noel,PAR,31,47,41,6,0,1.000,0,0,0,,0,0
GONZALEZ VALERA,Luis Gabriel,BBC,10,6,0,6,0,1.000,0,0,1,0.0,0,0
GONZÁLEZ TAVERAS,Luís Manuel Junior,PAR,32,121,38,81,2,0.983,13,0,0,,0,0
GOZZINI,Tommaso,FIO,22,89,86,2,1,0.989,5,0,0,,0,0
GRASSI,Stefano,SEN,11,9,1,5,3,0.667,0,0,0,,0,0
GREMI,Marcello,OLT,3,1,0,1,0,1.000,0,0,0,,0,0
GUADAGNINO,Diego Jesus,COL,12,27,23,3,1,0.963,0,0,0,,0,0
GUARDA,Dario,VER,11,7,2,5,0,1.000,1,0,0,,0,0
GUERRA CEBALLOS,Pedro Rafael,COL,8,2,0,2,0,1.000,0,0,0,,0,0
GUEVARA DUCATO,Jhorjan Jose,MOD,22,43,41,1,1,0.977,0,0,0,,0,0
GUGLIELMI,Edoardo,OLT,18,31,9,19,3,0.903,5,0,0,,0,0
HELDER,Eugene Alexander Junior,BOL,32,242,228,12,2,0.992,26,0,0,,0,0
HERRERA CAMEJO,Frank Ernesto,BOL,5,1,0,1,0,1.000,0,0,0,,0,0
HERRERA TORREZ,Jose Francisco,BBC,34,142,44,92,6,0.958,25,0,0,,0,0
HURTADO NOA,Yuliesky,MOD,11,15,5,9,1,0.933,1,0,0,,0,0
IBBA,Massimiliano,CAG,6,6,1,4,1,0.833,0,0,0,,0,0
INFANTE CARRENO,Juan Carlos Junior,MOD,20,14,8,5,1,0.929,0,0,0,,0,0
JAVIER DIAZ,Daury,ROV,8,4,1,3,0,1.000,0,0,0,,0,0
JOSEPH TIMO,Manuel Marcelo,MAC,21,74,19,53,2,0.973,18,0,0,,0,0
KOURTIS,Dimitrios,RSM,13,2,0,2,0,1.000,0,0,0,,0,0
KRASNIQI,Mergim,FIO,15,127,119,6,2,0.984,9,0,0,,0,0
LAGHI,Cristian,GOD,8,33,10,18,5,0.848,4,0,0,,0,0
LAISE,Alessandro,CRO,19,79,22,52,5,0.937,11,0,0,,0,0
LAMBERTINI,Lorenzo,MOD,14,86,75,9,2,0.977,1,16,3,84.2,1,0
LANGELLA,Fabio,CAN,10,4,1,3,0,1.000,0,0,0,,0,0
LASARACINA,GIACONINO PAOLO,SET,20,123,85,30,8,0.935,1,11,7,61.1,5,1
LAURENCIO VIL,MARCIAL,LIN,9,13,4,8,1,0.923,1,0,0,,0,0
LAURENTI,DAVID GRAYSEN,SEN,16,38,38,0,0,1.000,0,0,0,,0,0
LEON,Jéfrem Efraim,BOL,4,5,0,5,0,1.000,0,0,0,,0,0
